Type,Size,Density,Iterations,Seed,STD,Time
dense,10,0.75,100,0,1.43496e-14,0
sparse,10,0.75,100,0,1.43496e-14,0
dense,10,0.75,100,1,1.64743e-14,0
sparse,10,0.75,100,1,1.64743e-14,1
dense,10,0.75,100,2,2.22608e-14,0
sparse,10,0.75,100,2,2.22608e-14,0
dense,10,0.75,100,3,1.08493e-14,0
sparse,10,0.75,100,3,1.08493e-14,0
dense,10,0.75,100,4,2.17965e-14,0
sparse,10,0.75,100,4,2.17965e-14,0
dense,20,0.75,100,0,1.60566e-14,0
sparse,20,0.75,100,0,1.60566e-14,0
dense,20,0.75,100,1,1.28555e-14,1
sparse,20,0.75,100,1,1.28555e-14,1
dense,20,0.75,100,2,1.93692e-14,0
sparse,20,0.75,100,2,1.93692e-14,1
dense,20,0.75,100,3,1.53171e-14,0
sparse,20,0.75,100,3,1.53171e-14,1
dense,20,0.75,100,4,1.72992e-14,0
sparse,20,0.75,100,4,1.72992e-14,1
dense,40,0.75,100,0,1.55078e-14,1
sparse,40,0.75,100,0,1.55078e-14,1
dense,40,0.75,100,1,1.8447e-14,1
sparse,40,0.75,100,1,1.8447e-14,2
dense,40,0.75,100,2,2.01126e-14,1
sparse,40,0.75,100,2,2.01126e-14,1
dense,40,0.75,100,3,2.36394e-14,1
sparse,40,0.75,100,3,2.36394e-14,1
dense,40,0.75,100,4,2.83994e-14,1
sparse,40,0.75,100,4,2.83994e-14,2
dense,80,0.75,100,0,2.82805e-14,4
sparse,80,0.75,100,0,2.82805e-14,3
dense,80,0.75,100,1,3.09371e-14,3
sparse,80,0.75,100,1,3.09371e-14,7
dense,80,0.75,100,2,3.07678e-14,6
sparse,80,0.75,100,2,3.07678e-14,5
dense,80,0.75,100,3,2.78439e-14,5
sparse,80,0.75,100,3,2.78439e-14,5
dense,80,0.75,100,4,3.06277e-14,6
sparse,80,0.75,100,4,3.06277e-14,5
dense,160,0.75,100,0,4.40475e-14,17
sparse,160,0.75,100,0,4.40475e-14,14
dense,160,0.75,100,1,4.30106e-14,16
sparse,160,0.75,100,1,4.30106e-14,18
dense,160,0.75,100,2,4.97129e-14,14
sparse,160,0.75,100,2,4.97129e-14,13
dense,160,0.75,100,3,4.81326e-14,15
sparse,160,0.75,100,3,4.81326e-14,15
dense,160,0.75,100,4,4.60496e-14,18
sparse,160,0.75,100,4,4.60496e-14,16
dense,320,0.75,100,0,6.30785e-14,48
sparse,320,0.75,100,0,6.30785e-14,57
dense,320,0.75,100,1,6.3634e-14,45
sparse,320,0.75,100,1,6.3634e-14,50
dense,320,0.75,100,2,6.19881e-14,57
sparse,320,0.75,100,2,6.19881e-14,49
dense,320,0.75,100,3,5.8201e-14,56
sparse,320,0.75,100,3,5.8201e-14,51
dense,320,0.75,100,4,6.73199e-14,52
sparse,320,0.75,100,4,6.73199e-14,45
dense,640,0.75,100,0,8.72997e-14,178
sparse,640,0.75,100,0,8.72997e-14,226
dense,640,0.75,100,1,9.50541e-14,187
sparse,640,0.75,100,1,9.50541e-14,182
dense,640,0.75,100,2,8.60645e-14,177
sparse,640,0.75,100,2,8.60645e-14,185
dense,640,0.75,100,3,8.89691e-14,173
sparse,640,0.75,100,3,8.89691e-14,180
dense,640,0.75,100,4,8.87081e-14,180
sparse,640,0.75,100,4,8.87081e-14,180
dense,1280,0.75,100,0,1.3819e-13,720
sparse,1280,0.75,100,0,1.3819e-13,673
dense,1280,0.75,100,1,1.37741e-13,663
sparse,1280,0.75,100,1,1.37741e-13,696
dense,1280,0.75,100,2,1.25387e-13,720
sparse,1280,0.75,100,2,1.25387e-13,765
dense,1280,0.75,100,3,1.21768e-13,701
sparse,1280,0.75,100,3,1.21768e-13,677
dense,1280,0.75,100,4,1.21713e-13,728
sparse,1280,0.75,100,4,1.21713e-13,682
dense,2560,0.75,100,0,1.7686e-13,2671
sparse,2560,0.75,100,0,1.7686e-13,2677
dense,2560,0.75,100,1,1.8956e-13,2779
sparse,2560,0.75,100,1,1.8956e-13,2671
dense,2560,0.75,100,2,1.72295e-13,2762
sparse,2560,0.75,100,2,1.72295e-13,2673
dense,2560,0.75,100,3,1.79742e-13,2717
sparse,2560,0.75,100,3,1.79742e-13,2785
dense,2560,0.75,100,4,2.04187e-13,2714
sparse,2560,0.75,100,4,2.04187e-13,2697
dense,5120,0.75,100,0,2.46037e-13,11073
sparse,5120,0.75,100,0,2.46037e-13,10831
dense,5120,0.75,100,1,2.4601e-13,11147
sparse,5120,0.75,100,1,2.4601e-13,10987
dense,5120,0.75,100,2,2.69554e-13,11051
sparse,5120,0.75,100,2,2.69554e-13,10880
dense,5120,0.75,100,3,2.54535e-13,11069
sparse,5120,0.75,100,3,2.54535e-13,11937
dense,5120,0.75,100,4,2.54658e-13,12660
sparse,5120,0.75,100,4,2.54658e-13,11039
