Type,Size,Density,Iterations,Seed,STD,Time
dense,10,1,100,0,1.15227e-14,0
sparse,10,1,100,0,1.15227e-14,0
dense,10,1,100,1,1.54859e-14,0
sparse,10,1,100,1,1.54859e-14,0
dense,10,1,100,2,1.76609e-14,0
sparse,10,1,100,2,1.76609e-14,0
dense,10,1,100,3,1.81622e-14,1
sparse,10,1,100,3,1.81622e-14,0
dense,10,1,100,4,1.19354e-14,0
sparse,10,1,100,4,1.19354e-14,1
dense,20,1,100,0,2.25344e-14,0
sparse,20,1,100,0,2.25344e-14,1
dense,20,1,100,1,1.94488e-14,1
sparse,20,1,100,1,1.94488e-14,1
dense,20,1,100,2,2.27333e-14,1
sparse,20,1,100,2,2.27333e-14,1
dense,20,1,100,3,1.96754e-14,1
sparse,20,1,100,3,1.96754e-14,1
dense,20,1,100,4,1.31237e-14,0
sparse,20,1,100,4,1.31237e-14,1
dense,40,1,100,0,2.29609e-14,2
sparse,40,1,100,0,2.29609e-14,1
dense,40,1,100,1,2.39208e-14,1
sparse,40,1,100,1,2.39208e-14,1
dense,40,1,100,2,2.19536e-14,1
sparse,40,1,100,2,2.19536e-14,2
dense,40,1,100,3,2.28351e-14,2
sparse,40,1,100,3,2.28351e-14,2
dense,40,1,100,4,2.43792e-14,1
sparse,40,1,100,4,2.43792e-14,2
dense,80,1,100,0,3.06225e-14,6
sparse,80,1,100,0,3.06225e-14,6
dense,80,1,100,1,3.34199e-14,6
sparse,80,1,100,1,3.34199e-14,6
dense,80,1,100,2,3.87812e-14,7
sparse,80,1,100,2,3.87812e-14,7
dense,80,1,100,3,3.00092e-14,7
sparse,80,1,100,3,3.00092e-14,6
dense,80,1,100,4,3.31375e-14,7
sparse,80,1,100,4,3.31375e-14,7
dense,160,1,100,0,3.90165e-14,20
sparse,160,1,100,0,3.90165e-14,25
dense,160,1,100,1,5.21248e-14,24
sparse,160,1,100,1,5.21248e-14,19
dense,160,1,100,2,4.46457e-14,20
sparse,160,1,100,2,4.46457e-14,22
dense,160,1,100,3,5.06088e-14,29
sparse,160,1,100,3,5.06088e-14,25
dense,160,1,100,4,4.70444e-14,23
sparse,160,1,100,4,4.70444e-14,22
dense,320,1,100,0,8.01507e-14,75
sparse,320,1,100,0,8.01507e-14,88
dense,320,1,100,1,6.31722e-14,70
sparse,320,1,100,1,6.31722e-14,64
dense,320,1,100,2,6.52377e-14,71
sparse,320,1,100,2,6.52377e-14,62
dense,320,1,100,3,6.18277e-14,70
sparse,320,1,100,3,6.18277e-14,70
dense,320,1,100,4,6.25802e-14,72
sparse,320,1,100,4,6.25802e-14,66
dense,640,1,100,0,1.06453e-13,255
sparse,640,1,100,0,1.06453e-13,246
dense,640,1,100,1,1.01013e-13,264
sparse,640,1,100,1,1.01013e-13,275
dense,640,1,100,2,8.70629e-14,282
sparse,640,1,100,2,8.70629e-14,258
dense,640,1,100,3,9.34963e-14,237
sparse,640,1,100,3,9.34963e-14,250
dense,640,1,100,4,9.09558e-14,256
sparse,640,1,100,4,9.09558e-14,250
dense,1280,1,100,0,1.50803e-13,991
sparse,1280,1,100,0,1.50803e-13,1012
dense,1280,1,100,1,1.35173e-13,1087
sparse,1280,1,100,1,1.35173e-13,1266
dense,1280,1,100,2,1.28551e-13,1137
sparse,1280,1,100,2,1.28551e-13,1118
dense,1280,1,100,3,1.2457e-13,960
sparse,1280,1,100,3,1.2457e-13,1010
dense,1280,1,100,4,1.25632e-13,988
sparse,1280,1,100,4,1.25632e-13,1152
dense,2560,1,100,0,1.83641e-13,3889
sparse,2560,1,100,0,1.83641e-13,4057
dense,2560,1,100,1,1.92378e-13,3888
sparse,2560,1,100,1,1.92378e-13,4007
dense,2560,1,100,2,1.98801e-13,3849
sparse,2560,1,100,2,1.98801e-13,4031
dense,2560,1,100,3,1.81419e-13,3874
sparse,2560,1,100,3,1.81419e-13,4095
dense,2560,1,100,4,2.03119e-13,3918
sparse,2560,1,100,4,2.03119e-13,4068
dense,5120,1,100,0,2.69705e-13,15698
sparse,5120,1,100,0,2.69705e-13,16087
dense,5120,1,100,1,2.85133e-13,15503
sparse,5120,1,100,1,2.85133e-13,15923
dense,5120,1,100,2,2.54457e-13,15720
sparse,5120,1,100,2,2.54457e-13,16084
dense,5120,1,100,3,2.64364e-13,15628
sparse,5120,1,100,3,2.64364e-13,16268
dense,5120,1,100,4,2.66253e-13,15776
sparse,5120,1,100,4,2.66253e-13,16248
