Type,Size,Density,Iterations,Seed,STD,Time
dense,10,0.5,100,0,9.13715e-15,0
sparse,10,0.5,100,0,9.13715e-15,0
dense,10,0.5,100,1,1.35283e-14,0
sparse,10,0.5,100,1,1.35283e-14,0
dense,10,0.5,100,2,9.34189e-15,1
sparse,10,0.5,100,2,9.34189e-15,0
dense,10,0.5,100,3,7.97989e-15,1
sparse,10,0.5,100,3,7.97989e-15,0
dense,10,0.5,100,4,6.08874e-15,0
sparse,10,0.5,100,4,6.08874e-15,1
dense,20,0.5,100,0,9.07358e-15,1
sparse,20,0.5,100,0,9.07358e-15,0
dense,20,0.5,100,1,1.34277e-14,0
sparse,20,0.5,100,1,1.34277e-14,1
dense,20,0.5,100,2,1.52697e-14,0
sparse,20,0.5,100,2,1.52697e-14,0
dense,20,0.5,100,3,1.76589e-14,0
sparse,20,0.5,100,3,1.76589e-14,0
dense,20,0.5,100,4,9.55179e-15,1
sparse,20,0.5,100,4,9.55179e-15,0
dense,40,0.5,100,0,2.23242e-14,2
sparse,40,0.5,100,0,2.23242e-14,1
dense,40,0.5,100,1,1.42907e-14,2
sparse,40,0.5,100,1,1.42907e-14,1
dense,40,0.5,100,2,2.10554e-14,2
sparse,40,0.5,100,2,2.10554e-14,1
dense,40,0.5,100,3,2.18349e-14,1
sparse,40,0.5,100,3,2.18349e-14,2
dense,40,0.5,100,4,1.82908e-14,2
sparse,40,0.5,100,4,1.82908e-14,2
dense,80,0.5,100,0,2.6669e-14,6
sparse,80,0.5,100,0,2.6669e-14,4
dense,80,0.5,100,1,2.23286e-14,6
sparse,80,0.5,100,1,2.23286e-14,4
dense,80,0.5,100,2,2.75871e-14,6
sparse,80,0.5,100,2,2.75871e-14,5
dense,80,0.5,100,3,2.37943e-14,8
sparse,80,0.5,100,3,2.37943e-14,4
dense,80,0.5,100,4,2.0998e-14,9
sparse,80,0.5,100,4,2.0998e-14,6
dense,160,0.5,100,0,2.9085e-14,23
sparse,160,0.5,100,0,2.9085e-14,20
dense,160,0.5,100,1,3.44846e-14,25
sparse,160,0.5,100,1,3.44846e-14,16
dense,160,0.5,100,2,3.6693e-14,32
sparse,160,0.5,100,2,3.6693e-14,18
dense,160,0.5,100,3,3.81182e-14,22
sparse,160,0.5,100,3,3.81182e-14,12
dense,160,0.5,100,4,3.49233e-14,22
sparse,160,0.5,100,4,3.49233e-14,12
dense,320,0.5,100,0,5.16458e-14,81
sparse,320,0.5,100,0,5.16458e-14,50
dense,320,0.5,100,1,4.65603e-14,83
sparse,320,0.5,100,1,4.65603e-14,42
dense,320,0.5,100,2,4.5929e-14,86
sparse,320,0.5,100,2,4.5929e-14,45
dense,320,0.5,100,3,4.4763e-14,75
sparse,320,0.5,100,3,4.4763e-14,50
dense,320,0.5,100,4,4.66971e-14,73
sparse,320,0.5,100,4,4.66971e-14,52
dense,640,0.5,100,0,7.26619e-14,294
sparse,640,0.5,100,0,7.26619e-14,157
dense,640,0.5,100,1,7.19405e-14,289
sparse,640,0.5,100,1,7.19405e-14,167
dense,640,0.5,100,2,6.60215e-14,287
sparse,640,0.5,100,2,6.60215e-14,161
dense,640,0.5,100,3,7.17631e-14,290
sparse,640,0.5,100,3,7.17631e-14,176
dense,640,0.5,100,4,6.61474e-14,290
sparse,640,0.5,100,4,6.61474e-14,171
dense,1280,0.5,100,0,1.06868e-13,1112
sparse,1280,0.5,100,0,1.06868e-13,589
dense,1280,0.5,100,1,9.47331e-14,1210
sparse,1280,0.5,100,1,9.47331e-14,658
dense,1280,0.5,100,2,9.27178e-14,1092
sparse,1280,0.5,100,2,9.27178e-14,601
dense,1280,0.5,100,3,9.39883e-14,1158
sparse,1280,0.5,100,3,9.39883e-14,578
dense,1280,0.5,100,4,9.24329e-14,1089
sparse,1280,0.5,100,4,9.24329e-14,581
dense,2560,0.5,100,0,1.37719e-13,4523
sparse,2560,0.5,100,0,1.37719e-13,2250
dense,2560,0.5,100,1,1.32764e-13,4572
sparse,2560,0.5,100,1,1.32764e-13,3143
dense,2560,0.5,100,2,1.33323e-13,5175
sparse,2560,0.5,100,2,1.33323e-13,2979
dense,2560,0.5,100,3,1.28522e-13,5139
sparse,2560,0.5,100,3,1.28522e-13,3167
dense,2560,0.5,100,4,1.28617e-13,4757
sparse,2560,0.5,100,4,1.28617e-13,2828
dense,5120,0.5,100,0,1.85747e-13,17248
sparse,5120,0.5,100,0,1.85747e-13,9058
dense,5120,0.5,100,1,1.83791e-13,17505
sparse,5120,0.5,100,1,1.83791e-13,9122
dense,5120,0.5,100,2,1.98042e-13,17697
sparse,5120,0.5,100,2,1.98042e-13,8994
dense,5120,0.5,100,3,2.31817e-13,17935
sparse,5120,0.5,100,3,2.31817e-13,8030
dense,5120,0.5,100,4,1.87574e-13,15613
sparse,5120,0.5,100,4,1.87574e-13,7940
